ID,TEMPLATE,MESSAGE_TITLE,TEXT
92,DEEDER_NOTIFY_BUSINESS_OFFER,subject,"Offer from %1$s"
94,GOVERNMENT_OFFER,subject,"Offer from Government Agency/Department"
95,DEEDER_NOTIFY_GOVERNMENT_OFFER,subject,"Offer from %1$s"
96,DEEDER_NOTIFY_NGO_OFFER,subject,"Offer from %1$s"
97,DEEDER_NOTIFY_NGO_OFFER,subject,"Offer from %1$s"
98,DEEDER_NOTIFY_NGO_OFFER,congratsMsg,"Congratulations %1$s, You have just won a new offer from %2$s"
99,DEEDER_NOTIFY_NGO_OFFER,viewOfferLinkMsg,"In order to view the Offer details, please visit the following link:"
100,NGO_OFFER,subject,"Offer from NGO"
101,BUSINESS_AMEND,subject,"Change Business Details"
102,GOVERNMENT_AMEND,subject,"Change Government Agency/Department Details"
103,NGO_AMEND,subject,"Change NGO/Charity Details"
104,USER_REGISTER,registrationUser,"User Registration"
105,USER_REGISTER,successfullyReg,"User You have successfully registered yourself on GDFNow.org"
